asset_name_source,auto_publish,canonical_symbol_candidate,external_status_source,manual_verification_required,methodology_id,normalized_status,publication_state,retrieved_at,source_row_id,source_url,symbol_source
Aave,False,AAVE,Not Compliant,True,FASSET_SHARIAH_REPORTS,NOT_ELIGIBLE_EXTERNAL_REFERENCE,GUARD_ONLY,2026-07-24,FASSET-GUARD-001-aave,https://www.fasset.com/shariah-reports/,AAVE
Maker,False,MKR,Not Compliant,True,FASSET_SHARIAH_REPORTS,NOT_ELIGIBLE_EXTERNAL_REFERENCE,GUARD_ONLY,2026-07-24,FASSET-GUARD-002-maker,https://www.fasset.com/shariah-reports/,MKR
Shiba Inu,False,SHIB,Not Compliant,True,FASSET_SHARIAH_REPORTS,NOT_ELIGIBLE_EXTERNAL_REFERENCE,GUARD_ONLY,2026-07-24,FASSET-GUARD-003-shiba-inu,https://www.fasset.com/shariah-reports/,SHIB
OFFICIAL TRUMP,False,TRUMP,Not Compliant,True,FASSET_SHARIAH_REPORTS,NOT_ELIGIBLE_EXTERNAL_REFERENCE,GUARD_ONLY,2026-07-24,FASSET-GUARD-004-official-trump,https://www.fasset.com/shariah-reports/,TRUMP
Ethena USDe,False,USDE,Not Compliant,True,FASSET_SHARIAH_REPORTS,NOT_ELIGIBLE_EXTERNAL_REFERENCE,GUARD_ONLY,2026-07-24,FASSET-GUARD-005-ethena-usde,https://www.fasset.com/shariah-reports/,USDE
Ethena,False,ENA,Not Compliant,True,FASSET_SHARIAH_REPORTS,NOT_ELIGIBLE_EXTERNAL_REFERENCE,GUARD_ONLY,2026-07-24,FASSET-GUARD-006-ethena,https://www.fasset.com/shariah-reports/,ENA
Injective,False,INJ,Not Compliant,True,FASSET_SHARIAH_REPORTS,NOT_ELIGIBLE_EXTERNAL_REFERENCE,GUARD_ONLY,2026-07-24,FASSET-GUARD-007-injective,https://www.fasset.com/shariah-reports/,INJ
Compound,False,COMP,Not Compliant,True,FASSET_SHARIAH_REPORTS,NOT_ELIGIBLE_EXTERNAL_REFERENCE,GUARD_ONLY,2026-07-24,FASSET-GUARD-008-compound,https://www.fasset.com/shariah-reports/,COMP
Synthetix,False,SNX,Not Compliant,True,FASSET_SHARIAH_REPORTS,NOT_ELIGIBLE_EXTERNAL_REFERENCE,GUARD_ONLY,2026-07-24,FASSET-GUARD-009-synthetix,https://www.fasset.com/shariah-reports/,SNX
dYdX,False,DYDX,Not Compliant,True,FASSET_SHARIAH_REPORTS,NOT_ELIGIBLE_EXTERNAL_REFERENCE,GUARD_ONLY,2026-07-24,FASSET-GUARD-010-dydx,https://www.fasset.com/shariah-reports/,DYDX
GMX,False,GMX,Not Compliant,True,FASSET_SHARIAH_REPORTS,NOT_ELIGIBLE_EXTERNAL_REFERENCE,GUARD_ONLY,2026-07-24,FASSET-GUARD-011-gmx,https://www.fasset.com/shariah-reports/,GMX
Kava,False,KAVA,Not Compliant,True,FASSET_SHARIAH_REPORTS,NOT_ELIGIBLE_EXTERNAL_REFERENCE,GUARD_ONLY,2026-07-24,FASSET-GUARD-012-kava,https://www.fasset.com/shariah-reports/,KAVA
Bonk,False,BONK,Not Compliant,True,FASSET_SHARIAH_REPORTS,NOT_ELIGIBLE_EXTERNAL_REFERENCE,GUARD_ONLY,2026-07-24,FASSET-GUARD-013-bonk,https://www.fasset.com/shariah-reports/,BONK
dogwifhat,False,WIF,Not Compliant,True,FASSET_SHARIAH_REPORTS,NOT_ELIGIBLE_EXTERNAL_REFERENCE,GUARD_ONLY,2026-07-24,FASSET-GUARD-014-dogwifhat,https://www.fasset.com/shariah-reports/,WIF
Floki,False,FLOKI,Not Compliant,True,FASSET_SHARIAH_REPORTS,NOT_ELIGIBLE_EXTERNAL_REFERENCE,GUARD_ONLY,2026-07-24,FASSET-GUARD-015-floki,https://www.fasset.com/shariah-reports/,FLOKI
Brett,False,BRETT,Not Compliant,True,FASSET_SHARIAH_REPORTS,NOT_ELIGIBLE_EXTERNAL_REFERENCE,GUARD_ONLY,2026-07-24,FASSET-GUARD-016-brett,https://www.fasset.com/shariah-reports/,BRETT
Book of Meme,False,BOME,Not Compliant,True,FASSET_SHARIAH_REPORTS,NOT_ELIGIBLE_EXTERNAL_REFERENCE,GUARD_ONLY,2026-07-24,FASSET-GUARD-017-book-of-meme,https://www.fasset.com/shariah-reports/,BOME
Popcat,False,POPCAT,Not Compliant,True,FASSET_SHARIAH_REPORTS,NOT_ELIGIBLE_EXTERNAL_REFERENCE,GUARD_ONLY,2026-07-24,FASSET-GUARD-018-popcat,https://www.fasset.com/shariah-reports/,POPCAT
Dai,False,DAI,Not Compliant,True,FASSET_SHARIAH_REPORTS,NOT_ELIGIBLE_EXTERNAL_REFERENCE,GUARD_ONLY,2026-07-24,FASSET-GUARD-019-dai,https://www.fasset.com/shariah-reports/,DAI
